Caseno/ Bail Ref no,BailStatus,HORef,StatusOfBail,DecisionDate,Final Bail Outcome,Destruction Date(if any),Last Comment,,,,,,,,,"SELECT t.caseno, t.amount, ac.Bailtype,Year(ac.DateReceived) as BailYear, max(s.CaseStatus) as BailStatus,max(s.CaseStatus)MAXID, max(h.comment) as Comment"
GW/01475,,,,,,Apr-26,,,,,,,,,,
GL/00027,,,,,,Apr-26,,,,,,,,,,
GW/01375,,,,,,May-26,,,,,,,,,,
GW/01487,,,,,,May-26,,,,,,,,,,
GW/01578,,,,,,May-26,,,,,,,,,,
GW/01625,,,,,,May-26,,,,,,,,,,
GW/01260,,,,,,May-26,,,,,,,,,,
GW/01480,,,,,,May-26,,,,,,,,,,
GW/01466,,,,,,May-26,,,,,,,,,,
GW/01562,,,,,,May-26,,,,,,,,,,
GW/00782,,,,,,May-26,,,,,,,,,,
GW/00828,,,,,,Jun-26,,,,,,,,,,
GW/01668,,,,,,Jun-26,,,,,,,,,,
GW/01283,,,,,,Jun-26,,,,,,,,,,
GW/01631,,,,,,Jun-26,,,,,,,,,,
GW/01512,,,,,,Jun-26,,,,,,,,,,
GW/01642,,,,,,Jun-26,,,,,,,,,,
GW/00892,,,,,,Jun-26,,,,,,,,,,
GW/01336,,,,,,Jun-26,,,,,,,,,,
GW/01637,,,,,,Jul-26,,,,,,,,,,
GW/01444,,,,,,Jul-26,,,,,,,,,,
GW/01477,,,,,,Jul-26,,,,,,,,,,
GW/01626,,,,,,Jul-26,,,,,,,,,,
GW/00793,,,,,,Aug-26,,,,,,,,,,
GW/01248,,,,,,Aug-26,,,,,,,,,,
GW/01697,,,,,,Aug-26,,,,,,,,,,
GW/01477,,,,,,Aug-26,,,,,,,,,,
GW/01630,,,,,,Aug-26,,,,,,,,,,
GW/01531,,,,,,Aug-26,,,,,,,,,,
GW/00842,,,,,,Aug-26,,,,,,,,,,
GW/01686,,,,,,Aug-26,,,,,,,,,,
GW/01617,,,,,,Sep-26,,,,,,,,,,
GW/01779,,,,,,Sep-26,,,,,,,,,,
GW/01750,,,,,,Sep-26,,,,,,,,,,
GL/013/98,,,,,,Sep-26,,,,,,,,,,
GW/01786,,,,,,Sep-26,,,,,,,,,,
GW/01753,,,,,,Sep-26,,,,,,,,,,
GW/01288,,,,,,Sep-26,,,,,,,,,,
GW/01690,,,,,,Oct-26,,,,,,,,,,
GW/01680,,,,,,Oct-26,,,,,,,,,,
GW/01572,,,,,,Oct-26,,,,,,,,,,
GW/01561,,,,,,Oct-26,,,,,,,,,,
GW/01403,,,,,,Oct-26,,,,,,,,,,
HC/02570,,,,,,Oct-26,,,,,,,,,,
GW/01819,,,,,,Nov-26,,,,,,,,,,
GW/01641,,,,,,Nov-26,,,,,,,,,,
GW/01724,,,,,,Nov-26,,,,,,,,,,
BH/00497,,,,,,Nov-26,,,,,,,,,,
GW/01751,,,,,,Nov-26,,,,,,,,,,
GW/01715,,,,,,Nov-26,,,,,,,,,,
GW/01796,,,,,,Nov-26,,,,,,,,,,
GW/01152,,,,,,Dec-26,,,,,,,,,,
gw01381,,,,,,Nov-26,,,,,,,,,,
GW01852,,,,,,Nov-26,,,,,,,,,,
GW01732,,,,,,Nov-26,,,,,,,,,,
GW01746,,,,,,Nov-26,,,,,,,,,,
BH02215,,,,,,Nov-26,,,,,,,,,,
GW01511,,,,,,Dec-26,,,,,,,,,,
GW01080,,,,,,Dec-26,,,,,,,,,,
BH02202,,,,,,Dec-26,,,,,,,,,,
GW01764,,,,,,Dec-26,,,,,,,,,,
GW01864,,,,,,Dec-26,,,,,,,,,,
GW01615,,,,,,Dec-26,,,,,,,,,,
GW01115,,,,,,Dec-26,,,,,,,,,,
GW01708,Dec,,,,,Dec-26,,,,,,,,,,
GW01494,,,,,,Jan-27,,,,,,,,,,
GW00845,,,,,,Jan-27,,,,,,,,,,
GW01661,,,,,,Jan-27,,,,,,,,,,
GW01702,,,,,,Jan-27,,,,,,,,,,
GW01741,,,,,,Jan-27,,,,,,,,,,
GW01681,,,,,,Jan-27,,,,,,,,,,
GW/01677,,,,,,Jan-27,,,,,,,,,,
GW/01947,,,,,,Feb-27,,,,,,,,,,
GW/01054,,,,,,Feb-27,,,,,,,,,,
GL/00050,,,,,,Feb-27,,,,,,,,,,
GW00136,,,,,,Dec-27,,,,,,,,,,
GW01627,,,,,,May-27,,,,,,,,,,
GW01980,,,,,,Feb-27,,,,,,,,,,
HC02749,,,,,,Feb-27,,,,,,,,,,
GW01519,,,,,,Nov-27,,,,,,,,,,
GW01924,,,,,,Feb-27,,,,,,,,,,
GW00620,,,,,,Jul-27,,,,,,,,,,
GW02007,,,,,,Mar-27,,,,,,,,,,
GW01528,,,,,,Apr-27,,,,,,,,,,
GW01551,,,,,,May-27,,,,,,,,,,
GW01244,,,,,,Mar-27,,,,,,,,,,
GW01526,,,,,,Mar-27,,,,,,,,,,
GW01374,,,,,,Mar-27,,,,,,,,,,
GW01760,,,,,,Mar-27,,,,,,,,,,
HC07019,,,,,,Mar-27,,,,,,,,,,
GW01664,,,,,,Mar-27,,,,,,,,,,
GW01709,,,,,,Jul-27,,,,,,,,,,
GW01891,,,,,,Mar-27,,,,,,,,,,
GW01923,,,,,,Mar-27,,,,,,,,,,
GW/01927,,,,,,Mar-27,,,,,,,,,,
GW01571,,,,,,Apr-27,,,,,,,,,,
GW01571,,,,,,May-27,,,,,,,,,,
GW01974,,,,,,Jul-27,,,,,,,,,,
GW/01758,,,,,,May-27,,,,,,,,,,
GW/01803,,,,,,Jun-27,,,,,,,,,,
GW02035,,,,,,Jun-27,,,,,,,,,,
GW/01961,,,,,,Jun-27,,,,,,,,,,
GW/01884,,,,,,Jun-27,,,,,,,,,,
GW/01958,,,,,,Jun-27,,,,,,,,,,
GW/02001,,,,,,Jun-27,,,,,,,,,,
GW/01116,,,,,,Jul-27,,,,,,,,,,
BE/00194,,,,,,Jul-27,,,,,,,,,,
HC/06938,,,,,,Jul-27,,,,,,,,,,
GW/02062,,,,,,Jul-27,,,,,,,,,,
GW/01700,,,,,,Jul-27,,,,,,,,,,
GW/00497,,,,,,Jul-27,,,,,,,,,,
GW/01658,,,,,,Jul-27,,,,,,,,,,
HC/07385,,,,,,Jul-27,,,,,,,,,,
GW/01809,,,,,,Jul-27,,,,,,,,,,
GW/01143,,,,,,Aug-27,,,,,,,,,,
NS/00059,,,,,,Aug-27,,,,,,,,,,
GW/01309,,,,,,Aug-27,,,,,,,,,,
HC/07195,,,,,,Aug-27,,,,,,,,,,
GW/01987,,,,,,Aug-27,,,,,,,,,,
GW/01727,,,,,,Aug-27,,,,,,,,,,
TY/04472,,,,,,Aug-27,,,,,,,,,,
GW/02037,,,,,,Aug-27,,,,,,,,,,
GW/01581,,,,,,Aug-27,,,,,,,,,,
GW/01389,,,,,,Aug-27,,,,,,,,,,
GW/02187,,,,,,Sep-27,,,,,,,,,,
GW/02107,,,,,,Sep-27,,,,,,,,,,
GW/02159,,,,,,Sep-27,,,,,,,,,,
GW/02150,,,,,,Sep-27,,,,,,,,,,
GW/01563,,,,,,Sep-27,,,,,,,,,,
GW/01820,,,,,,Sep-27,,,,,,,,,,
GW/01812,,,,,,Sep-27,,,,,,,,,,
GW/01780,,,,,,Sep-27,,,,,,,,,,
GW/01784,,,,,,Oct-27,,,,,,,,,,
GW/02230,,,,,,Oct-27,,,,,,,,,,
HC/06231,,,,,,Oct-27,,,,,,,,,,
GW/02205,,,,,,Oct-27,,,,,,,,,,
GW/01151,,,,,,Oct-27,,,,,,,,,,
GW/01794,,,,,,Oct-27,,,,,,,,,,
GW/01749,,,,,,Oct-27,,,,,,,,,,
GW/02132,,,,,,Oct-27,,,,,,,,,,
GW/02229,,,,,,Oct-27,,,,,,,,,,
GW/01485,,,,,,Oct-27,,,,,,,,,,
GW/01489,,,,,,Oct-27,,,,,,,,,,
GW/01638,,,,,,Oct-27,,,,,,,,,,
GW/01366,,,,,,Oct-27,,,,,,,,,,
GW/01091,,,,,,Nov-27,,,,,,,,,,
GW/02232,,,,,,Nov-27,,,,,,,,,,
GW/02250,,,,,,Nov-27,,,,,,,,,,
GW/00913,,,,,,Dec-27,,,,,,,,,,
GW/02211,,,,,,Dec-27,,,,,,,,,,
HC/07332,,,,,,Jan-28,,,,,,,,,,
GW/01985,,,,,,Jan-28,,,,,,,,,,
GW/01843,,,,,,Jan-28,,,,,,,,,,
HC/06613,,,,,,Jan-28,,,,,,,,,,
GW/02243,,,,,,Jan-28,,,,,,,,,,
GW/02292,,,,,,Jan-28,,,,,,,,,,
GW/02291,,,,,,Jan-28,,,,,,,,,,
HC/07060,,,,,,Jan-28,,,,,,,,,,
GW/02103,,,,,,Jan-28,,,,,,,,,,
GW/01919,,,,,,Jan-28,,,,,,,,,,
GW/01995,,,,,,Jan-28,,,,,,,,,,
GW/01739,,,,,,Jan-28,,,,,,,,,,
GW/01826,,,,,,Jan-28,,,,,,,,,,
GW/02277,,,,,,Jan-28,,,,,,,,,,
GW/01719,,,,,,Jan-28,,,,,,,,,,
GW/01530,,,,,,Jan-28,,,,,,,,,,
GW/02146,,,,,,Jan-28,,,,,,,,,,
GW/01982,,,,,,Jan-28,,,,,,,,,,
GW/00847,,,,,,Jan-28,,,,,,,,,,
GW/02090,,,,,,Jan-28,,,,,,,,,,
GW/01920,,,,,,Jan-28,,,,,,,,,,
GW/01523,,,,,,Jan-28,,,,,,,,,,
GW/02267,,,,,,Jan-28,,,,,,,,,,
GW/02167,,,,,,Jan-28,,,,,,,,,,
GW/02174,,,,,,Jan-28,,,,,,,,,,
GW/01312,,,,,,Jan-28,,,,,,,,,,
GW/02241,,,,,,Jan-28,,,,,,,,,,
GW/02156,,,,,,Jan-28,,,,,,,,,,
GW/02145,,,,,,Jan-28,,,,,,,,,,
GW/01956,,,,,,Jan-28,,,,,,,,,,
GW/01957,,,,,,Jan-28,,,,,,,,,,
GW/02018,,,,,,Jan-28,,,,,,,,,,
GW/02066,,,,,,Jan-28,,,,,,,,,,
GW/02245,,,,,,Jan-28,,,,,,,,,,
GW/02079,,,,,,Jan-28,,,,,,,,,,
HC/07467,,,,,,Jan-28,,,,,,,,,,
GW/02152,,,,,,Feb-28,,,,,,,,,,
GW/02261,,,,,,Feb-28,,,,,,,,,,
GW/01316,,,,,,Feb-28,,,,,,,,,,
GW/02026,,,,,,Feb-28,,,,,,,,,,
GW/01651,,,,,,Feb-28,,,,,,,,,,
GW/01185,,,,,,Feb-28,,,,,,,,,,
GW/01917,,,,,,Mar-28,,,,,,,,,,
GW/01422,,,,,,Mar-28,,,,,,,,,,
GW/02168,,,,,,Mar-28,,,,,,,,,,
GW/02316,,,,,,Mar-28,,,,,,,,,,
GW/01767,,,,,,Mar-28,,,,,,,,,,
GW/02403,,,,,,Apr-28,,,,,,,,,,
GW/01972,,,,,,May-28,,,,,,,,,,
HC/04925,,,,,,May-28,,,,,,,,,,
GW/02061,,,,,,May-28,,,,,,,,,,
GW/02225,,,,,,May-28,,,,,,,,,,
GW/02087,,,,,,May-28,,,,,,,,,,
GW/02020,,,,,,May-28,,,,,,,,,,
TY/05894,,,,,,May-28,,,,,,,,,,
GW/02004,,,,,,Jun-28,,,,,,,,,,
GW/02449,,,,,,Jun-28,,,,,,,,,,
HC/03098,,,,,,Jun-28,,,,,,,,,,
GW/02336,,,,,,Jun-28,,,,,,,,,,
GW/02191,,,,,,Jun-28,,,,,,,,,,
GW/02087,,,,,,Jul-28,,,,,,,,,,
GW/02320,,,,,,Jul-28,,,,,,,,,,
GW/02317,,,,,,Jul-28,,,,,,,,,,
GW/02297,,,,,,Jul-28,,,,,,,,,,
GW/02160,,,,,,Jul-28,,,,,,,,,,
GW/01873,,,,,,Jul-28,,,,,,,,,,
GW/00861,,,,,,Jul-28,,,,,,,,,,
PE/00282,,,,,,Aug-28,,,,,,,,,,
GW/01688,,,,,,Aug-28,,,,,,,,,,
GW/01721,,,,,,Aug-28,,,,,,,,,,
GW/02428,,,,,,Aug-28,,,,,,,,,,
GW/01730,,,,,,Aug-28,,,,,,,,,,
GW/02375,,,,,,Sep-28,,,,,,,,,,
GW/02045,,,,,,Sep-28,,,,,,,,,,
GW/02281,,,,,,Sep-28,,,,,,,,,,
GL/034/98,,,,,,Sep-28,,,,,,,,,,
GW/02357,,,,,,Sep-28,,,,,,,,,,
GW/01743,,,,,,Sep-28,,,,,,,,,,
GW/02149,,,,,,Sep-28,,,,,,,,,,
GW/02442,,,,,,Sep-28,,,,,,,,,,
GL/00174,,,,,,Sep-28,,,,,,,,,,
GW/02307,,,,,,Sep-28,,,,,,,,,,
BB/00092,,,,,,Sep-28,,,,,,,,,,
GW/00332,,,,,,Oct-28,,,,,,,,,,
GW/02492,,,,,,Oct-28,,,,,,,,,,
GW/00571,,,,,,Oct-28,,,,,,,,,,
CR/01499,,,,,,Oct-28,,,,,,,,,,
GW/02590,,,,,,Oct-28,,,,,,,,,,
GW/02144,,,,,,Oct-28,,,,,,,,,,
GW/00182,,,,,,Nov-28,,,,,,,,,,
GW/02115,,,,,,Nov-28,,,,,,,,,,
GW/02249,,,,,,Nov-28,,,,,,,,,,
BB/00809,,,,,,Dec-28,,,,,,,,,,
GW/02247,,,,,,Dec-28,,,,,,,,,,
GW/00972,,,,,,Dec-28,,,,,,,,,,
GW/02441,,,,,,Dec-28,,,,,,,,,,
GW/01376,,,,,,Jan-29,,,,,,,,,,
GW/02556,,,,,,Feb-29,,,,,,,,,,
GW/02417,,,,,,Feb-29,,,,,,,,,,
GW/02538,,,,,,Feb-29,,,,,,,,,,
BE/00405,,,,,,Mar-29,,,,,,,,,,
GW/02685,,,,,,Mar-29,,,,,,,,,,
GW/02673,,,,,,Mar-29,,,,,,,,,,
GW/02151,,,,,,Apr-29,,,,,,,,,,
GW/02536,,,,,,Apr-29,,,,,,,,,,
GW/02604,,,,,,Apr-29,,,,,,,,,,
BB/00506,,,,,,Apr-29,,,,,,,,,,
GW/02726,,,,,,Apr-29,,,,,,,,,,
GW/02670,,,,,,May-29,,,,,,,,,,
GW/02635,,,,,,May-29,,,,,,,,,,
GW/02729,,,,,,May-29,,,,,,,,,,
GL/00122,,,,,,May-29,,,,,,,,,,
GW/02730,,,,,,Jun-29,,,,,,,,,,
GW/02731,,,,,,Jun-29,,,,,,,,,,
GW/02596,,,,,,Jun-29,,,,,,,,,,
GW/00515,,,,,,Jun-29,,,,,,,,,,
GW/02811,,,,,,Jul-29,,,,,,,,,,
GW/02549,,,,,,Jul-29,,,,,,,,,,
GW/00159,,,,,,Jul-29,,,,,,,,,,
GW/02469,,,,,,Jul-29,,,,,,,,,,
GW/01245,,,,,,Jul-29,,,,,,,,,,
GW/02668,,,,,,Jul-29,,,,,,,,,,
GW/02699,,,,,,Jul-29,,,,,,,,,,
BB/00847,,,,,,Jul-29,,,,,,,,,,
GW/02869,,,,,,Jul-29,,,,,,,,,,
GW/02894,,,,,,Jul-29,,,,,,,,,,
GW/02750,,,,,,Aug-29,,,,,,,,,,
GW/02021,,,,,,Aug-29,,,,,,,,,,
GW/01464,,,,,,Aug-29,,,,,,,,,,
GW/01089,,,,,,Aug-29,,,,,,,,,,
GW/02761,,,,,,Sep-29,,,,,,,,,,
GW/02907,,,,,,Oct-29,,,,,,,,,,
GW/02755,,,,,,Oct-29,,,,,,,,,,
GW/02942,,,,,,Oct-29,,,,,,,,,,
GW/02462,,,,,,Oct-29,,,,,,,,,,
GW/02827,,,,,,Oct-29,,,,,,,,,,
GW/02966,,,,,,Oct-29,,,,,,,,,,
GW/02900,,,,,,Oct-29,,,,,,,,,,
PE/00477,,,,,,Oct-29,,,,,,,,,,
GW/00534,,,,,,Nov-29,,,,,,,,,,
BB/01199,,,,,,Nov-29,,,,,,,,,,
GW/03012,,,,,,Nov-29,,,,,,,,,,
GW/02504,,,,,,Nov-29,,,,,,,,,,
GW/02949,,,,,,Nov-29,,,,,,,,,,
GW/02846,,,,,,Nov-29,,,,,,,,,,
GW/03081,,,,,,Nov-29,,,,,,,,,,
GW/03098,,,,,,Dec-29,,,,,,,,,,
GW/02193,,,,,,Dec-29,,,,,,,,,,
GW/02099,,,,,,Dec-29,,,,,,,,,,
PE/00490,,,,,,Dec-29,,,,,,,,,,
GW02972,,,,,,Aug-30,,,,,,,,,,
GW03077,,,,,,Feb-30,,,,,,,,,,
GW03089,,,,,,Feb-30,,,,,,,,,,
GW02941,,,,,,Sep-30,,,,,,,,,,
HC10368,,,,,,Feb-30,,,,,,,,,,
HC10368,,,,,,Feb-30,,,,,,,,,,
GW02537,,,,,,Jan-30,,,,,,,,,,
GW03296,,,,,,Jan-30,,,,,,,,,,
GW/03273,,,,,,May-30,,,,,,,,,,
GW/03205,,,,,,May-30,,,,,,,,,,
GW03317,,,,,,Oct-30,,,,,,,,,,
GL00107,,,,,,Oct-30,,,,,,,,,,
GW03207,,,,,,Jan-30,,,,,,,,,,
GW00965,,,,,,Sep-30,,,,,,,,,,
TY07307,,,,,,Jan-30,,,,,,,,,,
GW03161,,,,,,Feb-30,,,,,,,,,,
GW02968,,,,,,Aug-30,,,,,,,,,,
GW03069,,,,,,Feb-30,,,,,,,,,,
GW02952,,,,,,Aug-30,,,,,,,,,,
CH00872,,,,,,Feb-30,,,,,,,,,,
GW03103,,,,,,Nov-30,,,,,,,,,,
GW02770,,,,,,Apr-30,,,,,,,,,,
GW02769,,,,,,Aug-30,,,,,,,,,,
GW01654,,,,,,Jan-30,,,,,,,,,,
GW02617,,,,,,Nov-30,,,,,,,,,,
GW02886,,,,,,Feb-30,,,,,,,,,,
GW02843,,,,,,May-30,,,,,,,,,,
GW03066,,,,,,Oct-30,,,,,,,,,,
HC06950,,,,,,Mar-30,,,,,,,,,,
GW03094,,,,,,Feb-30,,,,,,,,,,
GW02834,,,,,,Feb-30,,,,,,,,,,
GW02930,,,,,,Jul-30,,,,,,,,,,
TY07739,,,,,,Feb-30,,,,,,,,,,
NS00109,,,,,,Mar-30,,,,,,,,,,
BB00938,,,,,,Mar-30,,,,,,,,,,
HC/05475,,,,,,Mar-30,,,,,,,,,,
GW02592,,,,,,Nov-30,,,,,,,,,,
HC10486,,,,,,May-30,,,,,,,,,,
GW03074,,,,,,Oct-30,,,,,,,,,,
GW03156,,,,,,Feb-30,,,,,,,,,,
GW03157,,,,,,Dec-30,,,,,,,,,,
GW03175,,,,,,Jan-30,,,,,,,,,,
GW03284,,,,,,Apr-30,,,,,,,,,,
GW02288,,,,,,Apr-30,,,,,,,,,,
GW/03295,,,,,,Apr-30,,,,,,,,,,
GW01400,,,,,,Feb-30,,,,,,,,,,
GW03178,,,,,,Apr-30,,,,,,,,,,
GW01742,,,,,,May-30,,,,,,,,,,
GW03310,,,,,,May-30,,,,,,,,,,
GW02921,,,,,,Jul-30,,,,,,,,,,
GW/05124,,,,,,Nov-34,,,,,,,,,,
GW03205,,,,,,Jan-32,,,,,,,,,,
GW03273,,,,,,Mar-32,,,,,,,,,,
GW03197,,,,,,Jan-30,,,,,,,,,,
GW03188,,,,,,Jan-30,,,,,,,,,,
GW02444,,,,,,May-30,,,,,,,,,,
GW00917,,,,,,Sep-30,,,,,,,,,,
GW02615,,,,,,Dec-30,,,,,,,,,,
PE/00608,,,,,,Mar-32,,,,,,,,,,
GW03393,,,,,,Jul-30,,,,,,,,,,
GW03019,,,,,,Sep-30,,,,,,,,,,
GW00896,,,,,,Jul-30,,,,,,,,,,
GW03062,,,,,,Jul-30,,,,,,,,,,
GW03252,,,,,,Jul-30,,,,,,,,,,
GW03180,,,,,,Sep-30,,,,,,,,,,
GW02919,,,,,,Jul-30,,,,,,,,,,
GW/03312,,,,,,Jul-30,,,,,,,,,,
GW00984,,,,,,Dec-30,,,,,,,,,,
GW03199,,,,,,Jun-30,,,,,,,,,,
GW03091,,,,,,Jun-30,,,,,,,,,,
GL/00122,,,,,,Jun-30,,,,,,,,,,
GW03233,,,,,,Jun-30,,,,,,,,,,
GW/02480,,,,,,Jun-30,,,,,,,,,,
GW/03323,,,,,,Jun-30,,,,,,,,,,
BH/03842,,,,,,Jun-30,,,,,,,,,,
GW/03154,,,,,,Jun-06,,,,,,,,,,
PE/00608,,,,,,Jul-30,,,,,,,,,,
PE/00616,,,,,,Aug-30,,,,,,,,,,
GW/03298,,,,,,Aug-30,,,,,,,,,,
GW/03051,,,,,,Oct-30,,,,,,,,,,
GW/03343,,,,,,Apr-32,,,,,,,,,,
GW/02822,,,,,,Jun-30,,,,,,,,,,
HC/10504,,,,,,Feb-30,,,,,,,,,,
GW/03338,,,,,,Aug-30,,,,,,,,,,
PE00616,,,,,,Mar-32,,,,,,,,,,
GW/03298,,,,,,Mar-32,,,,,,,,,,
GW/03212,,,,,,Nov-30,,,,,,,,,,
GW/00352,,,,,,Nov-30,,,,,,,,,,
GW/01298,,,,,,Sep-30,,,,,,,,,,
GW/00849,,,,,,Sep-30,,,,,,,,,,
GW/03453,,,,,,Sep-30,,,,,,,,,,
GW/03315,,,,,,Sep-30,,,,,,,,,,
GW/03106,,,,,,Oct-30,,,,,,,,,,
GW/03420,,,,,,Jun-30,,,,,,,,,,
GW/02796,,,,,,Oct-30,,,,,,,,,,
GW/00990,,,,,,Oct-30,,,,,,,,,,
HC/05475,,,,,,Mar-32,,,,,,,,,,
GW/03473,,,,,,Aug-30,,,,,,,,,,
GW/00246,,,,,,Nov-30,,,,,,,,,,
GW03419,,,,,,Jul-30,,,,,,,,,,
GW/03559,,,,,,Oct-30,,,,,,,,,,
GW/03208,,,,,,Nov-30,,,,,,,,,,
GW/03519,,,,,,Sep-30,,,,,,,,,,
GW03465,,,,,,Nov-30,,,,,,,,,,
GW/04127,,,,,,Dec-31,,,,,,,,,,
GW/03569,,,,,,Dec-30,,,,,,,,,,
GW/03328,,,,,,Dec-30,,,,,,,,,,
GW/04068,,,,,,Oct-33,,,,,,,,,,
GW/03278,,,,,,Jan-31,,,,,,,,,,
GW/04024,,,,,,Jan-31,,,,,,,,,,
GW/03762,,,,,,Feb-31,,,,,,,,,,
GW/01425,,,,,,Sep-31,,,,,,,,,,
GW/04158,,,,,,Jan-32,,,,,,,,,,
GW/03667,,,,,,Jan-31,,,,,,,,,,
GW/03421,,,,,,Jun-31,,,,,,,,,,
GW/03684,,,,,,Jan-33,,,,,,,,,,
GW/01146,,,,,,Sep-21,,,,,,,,,,
GW/03556,,,,,,Jan-31,,,,,,,,,,
GW03220,,,,,,Jan-31,,,,,,,,,,
GW03539,,,,,,Jan-31,,,,,,,,,,
CH00768,,,,,,Jan-31,,,,,,,,,,
GW/03052,,,,,,Jan-31,,,,,,,,,,
GW03262,,,,,,Jan-31,,,,,,,,,,
GW/03684,,,,,,Jan-31,,,,,,,,,,
HC/05923,,,,,,Mar-31,,,,,,,,,,
GW/03736,,,,,,Feb-31,,,,,,,,,,
GW/02654,,,,,,Mar-31,,,,,,,,,,
GW02938,,,,,,Mar-31,,,,,,,,,,
GW/03554,,,,,,Mar-31,,,,,,,,,,
GW/03799,,,,,,Mar-31,,,,,,,,,,
GW03589,,,,,,Feb-31,,,,,,,,,,
GW03681,,,,,,Feb-31,,,,,,,,,,
GW/03498,,,,,,Feb-31,,,,,,,,,,
GW/03561,,,,,,Nov-31,,,,,,,,,,
GW/03552,,,,,,Nov-31,,,,,,,,,,
TY/10213,,,,,,Nov-31,,,,,,,,,,
GW03198,,,,,,Jan-31,,,,,,,,,,
GW/03647,,,,,,Mar-31,,,,,,,,,,
PE/00595,,,,,,Oct-31,,,,,,,,,,
TY10396,,,,,,Mar-31,,,,,,,,,,
GW/03550,,,,,,Mar-31,,,,,,,,,,
GW04157,,,,,,Mar-32,,,,,,,,,,
